,address,coordinates
75,"24004 Gopher Ave, Tomah, WI 54660, USA","43.95911504,-90.51212634"
76,"2817 St Johns Blvd, Joplin, MO 64804, USA","37.05762779,-94.52698351"
77,"P9C2+9P Mount Vista, WA, USA","45.72098352,-122.6482415"
78,"613 Victoria Ln, Harlingen, TX 78550, USA","26.16357422,-97.67216229"
79,"6225 Humphreys Blvd, Memphis, TN 38120, USA","35.12787502,-89.85529467"
80,"6720 Bertner Ave Suite 8A, Houston, TX 77030, USA","29.70773116,-95.40044497"
81,"1445 North Ave, Spearfish, SD 57783, USA","44.49806367,-103.8606446"
82,"412 Mustang Dr, Denver City, TX 79323, USA","32.96857601,-102.8358621"
83,"1100 Tunnel Rd, Asheville, NC 28805, USA","35.58861379,-82.48354085"
84,"1100 Andre St STE 205, New Iberia, LA 70563, USA","30.00690698,-91.79452385"
85,"9G6R+3R San Antonio, TX, USA","29.36023525,-98.4579838"
86,"12950 East Fwy, Houston, TX 77015, USA","29.77063353,-95.20029102"
87,"1423 N Jefferson Ave, Springfield, MO 65802, USA","37.22478249,-93.28996378"
88,"1125 Madison St Floor 3, Jefferson City, MO 65101, USA","38.56579236,-92.18179252"
89,"1353 N Travis St, Liberty, TX 77575, USA","30.06882337,-94.79849135"
90,"1100 Lake View Dr, Wausau, WI 54403, USA","44.93113047,-89.63424472"
91,"1 Springback Way, Anderson, SC 29621, USA","34.53774139,-82.62803267"
92,"1926 Oak St, Unionville, MO 63565, USA","40.48274509,-93.00564602"
93,"6800 Preston Rd, Plano, TX 75024, USA","33.06549105,-96.79511498"
94,"7002 Williams Dr, Corpus Christi, TX 78412, USA","27.69273454,-97.34576165"
95,"592 Rio Lindo Ave, Chico, CA 95926, USA","39.75456397,-121.8476488"
96,"500 Gypsy Ln building b 3rd floor, Youngstown, OH 44504, USA","41.13500507,-80.65803839"
97,"1 Havenwood Ln, Travelers Rest, SC 29690, USA","34.9640711,-82.45473247"
98,"3605 Mayfair Ave # 2150, Hibbing, MN 55746, USA","47.40883706,-92.92989836"
99,"25440 Interstate 45 N, Spring, TX 77386, USA","30.13090069,-95.44302258"
